Site,Habitat,Date,Ju_Amphistegina,A_lessonii,A_lobifera,Sorites,A_hemprichii,O_ammonides,Ammonia_sp,Nonion_sp,B_striatula
SB,L,Jan20,14.39490446,14.9044586,4.840764331,0.5095541401,11.08280255,0,0,0,0
SB,L,Jan20,0.8917197452,7.770700637,2.675159236,0.2547770701,2.675159236,0,0,0,0
SB,L,Jan20,1.401273885,39.23566879,3.949044586,0.127388535,3.949044586,0,0,0,0
SB,L,Apr20,1.27388535,4.968152866,0.3821656051,0.127388535,0.3821656051,0,0,0,0
SB,L,Apr20,0.3821656051,4.840764331,1.01910828,0,0,0,0,0,0
SB,L,Apr20,2.929936306,37.8343949,2.929936306,0.2547770701,1.146496815,0,0,0,0
SB,L,May20,3.057324841,15.92356688,1.78343949,4.458598726,0.7643312102,0,0,0.127388535,0
SB,L,May20,2.802547771,4.076433121,0.2547770701,0,0.127388535,0,0,0,0.6369426752
SB,L,May20,0,1.52866242,0.2547770701,0.2547770701,0,0,0,0,0
SB,L,Jun20,0,5.605095541,0.3821656051,0.2547770701,0,0,0,0.127388535,0
SB,L,Jun20,0.6369426752,4.076433121,0.5095541401,0.3821656051,0.3821656051,0,0,0,0
SB,L,Jun20,1.01910828,16.30573248,1.146496815,0.6369426752,0.3821656051,0,0,0,0
SB,L,Jul20,1.910828025,48.91719745,0.2547770701,0.7643312102,0.2547770701,0.2547770701,0.127388535,0.127388535,0.127388535
SB,L,Jul20,0.2547770701,14.52229299,0.7643312102,1.01910828,0.6369426752,0.3821656051,0.127388535,0.2547770701,0.127388535
SB,L,Jul20,0,8.662420382,0.6369426752,2.420382166,0.3821656051,0.127388535,0.127388535,0,0.127388535
SB,L,Sep20,0.127388535,3.949044586,0.2547770701,0.127388535,0,0.127388535,0,0,1.146496815
SB,L,Sep20,0,12.22929936,2.165605096,3.694267516,3.694267516,0,0,0.5095541401,1.27388535
SB,L,Sep20,0.127388535,17.32484076,2.929936306,0.3821656051,1.27388535,1.146496815,0,0.2547770701,1.146496815
SB,L,Sep20,0.127388535,15.2866242,2.038216561,1.01910828,2.802547771,0,0,0,0.5095541401
SB,L,Oct20,0,3.439490446,0.6369426752,0.3821656051,3.439490446,0.127388535,0,0,0
SB,L,Oct20,0,2.929936306,0.8917197452,0.7643312102,4.713375796,0.127388535,0,0,0.2547770701
SB,L,Oct20,0,3.439490446,5.605095541,2.165605096,9.426751592,0,0,0,0
SB,L,Oct20,0,0.7643312102,1.52866242,1.401273885,2.420382166,0.127388535,0,0,0
SB,L,Nov20,0,3.566878981,3.439490446,8.917197452,8.917197452,0,0,0,0
SB,L,Nov20,0,2.802547771,5.605095541,5.222929936,10.44585987,0.2547770701,0,0,0
SB,L,Nov20,0,0.3821656051,0.8917197452,4.968152866,4.076433121,0.127388535,0,0,0
SB,L,Nov20,0,5.605095541,6.624203822,12.61146497,7.261146497,0,0,0,0
SB,L,Jan21,9.426751592,7.643312102,1.910828025,6.114649682,2.038216561,0,0,0,0
SB,L,Jan21,0.5095541401,14.52229299,7.643312102,1.52866242,1.910828025,1.01910828,0.127388535,0,0.127388535
SB,L,Jan21,0,3.439490446,1.52866242,0.3821656051,0.2547770701,0,0,0,0
SB,L,Jan21,0,12.86624204,1.27388535,0.3821656051,0.2547770701,1.27388535,0,0,0
SB,L,Jan21,0.3821656051,8.280254777,2.292993631,0.7643312102,0.6369426752,0.3821656051,0,0,0
SB,L,Feb21,98.98089172,122.9299363,17.32484076,8.280254777,18.98089172,0.127388535,0.5095541401,0,0.3821656051
SB,L,Feb21,1.52866242,132.4840764,9.936305732,10.44585987,9.426751592,0.2547770701,0.127388535,0,0.2547770701
SB,L,Feb21,3.821656051,81.91082803,11.84713376,9.171974522,14.14012739,0.8917197452,0,0,0
SB,L,Feb21,0.5095541401,23.43949045,7.770700637,5.222929936,8.789808917,0.127388535,0,0,0.127388535
SB,L,Feb21,31.71974522,29.42675159,3.312101911,3.694267516,2.929936306,0.3821656051,0.127388535,0,0
SB,L,Apr21,0,20.63694268,5.605095541,3.566878981,8.917197452,0.3821656051,0.3821656051,0,0
SB,L,Apr21,192.611465,67.13375796,6.878980892,7.898089172,23.05732484,0.3821656051,0.127388535,0.127388535,0.3821656051
SB,L,Apr21,0,82.29299363,8.407643312,6.369426752,22.42038217,0.6369426752,0.2547770701,0,0.5095541401
SB,L,Apr21,1.78343949,40,5.095541401,6.242038217,9.808917197,0.5095541401,0,0,0
SB,L,Apr21,60.63694268,23.69426752,4.331210191,4.968152866,7.388535032,0.3821656051,0,0,0
NB,L,Jan20,0,0.2547770701,0,1.146496815,0,0,0,0,0
NB,L,Jan20,0,1.910828025,0,1.910828025,0.7643312102,0.127388535,0,0,0
NB,L,Jan20,0,0.127388535,0.127388535,0.8917197452,0,0.127388535,0,0,0
NB,L,Apr20,0,0.5095541401,0,0.5095541401,0,0,1.910828025,0,0
NB,L,Apr20,0,0.3821656051,0,0,0,0,0.127388535,0.127388535,0
NB,L,Apr20,0,0.127388535,0,1.01910828,0,0,0,0,0
NB,L,May20,0,0.127388535,0,0.5095541401,0,0,0,0,0
NB,L,May20,0,1.656050955,0.2547770701,0.6369426752,0,0,0,0,0
NB,L,May20,0,0.127388535,0.2547770701,0.3821656051,0,0,0,0,0
NB,L,Jun20,0,0.7643312102,0,0,0,0,0.2547770701,0,0
NB,L,Jun20,0,0.3821656051,0.127388535,0.127388535,0,0,0,0,0
NB,L,Jun20,0,0.5095541401,0.2547770701,0,0.127388535,0,0.127388535,0,0.3821656051
NB,L,Jul20,0,2.547770701,0.127388535,0.127388535,0,0.8917197452,5.095541401,0.3821656051,0
NB,L,Jul20,0,2.675159236,0.2547770701,0.3821656051,0,0.2547770701,0.127388535,0,0
NB,L,Jul20,1.78343949,61.27388535,0.3821656051,0,0,0,2.038216561,0,0
NB,L,Sep20,0.127388535,1.01910828,0,0,0,0,0.2547770701,0.127388535,0
NB,L,Sep20,0,3.821656051,0.2547770701,0.127388535,0.3821656051,0.5095541401,0,0,0.3821656051
NB,L,Sep20,0.3821656051,5.095541401,0.5095541401,0,0.127388535,0.127388535,0.2547770701,0.2547770701,0.3821656051
NB,L,Sep20,1.01910828,4.585987261,0.7643312102,0.3821656051,1.27388535,0.8917197452,1.401273885,0.5095541401,2.929936306
NB,L,Oct20,0,0.7643312102,0.127388535,0.127388535,0.127388535,0.2547770701,0,0,0
NB,L,Oct20,0,1.27388535,0.8917197452,0,0.127388535,0,0,0.127388535,0.2547770701
NB,L,Oct20,0,2.547770701,0.6369426752,0.127388535,0.2547770701,0.2547770701,0.127388535,0,0.3821656051
NB,L,Oct20,0,2.292993631,0.3821656051,0,0.127388535,0,0,0.127388535,0
NB,L,Nov20,0.127388535,1.78343949,0.6369426752,1.01910828,0,0,0,0,0
NB,L,Nov20,108.9171975,11.33757962,0.3821656051,0.3821656051,0.127388535,0.8917197452,0,0.127388535,0.3821656051
NB,L,Nov20,1.656050955,26.36942675,0.6369426752,0.127388535,0.2547770701,0.2547770701,0.127388535,0,0.2547770701
NB,L,Nov20,0,54.77707006,0.6369426752,0.3821656051,0.127388535,0.127388535,0,0,0
NB,L,Jan21,16.43312102,22.67515924,1.656050955,0.3821656051,0.127388535,0,0,0,0.8917197452
NB,L,Jan21,1.27388535,51.97452229,0.7643312102,0.8917197452,0.5095541401,0.127388535,0.127388535,0.2547770701,0
NB,L,Jan21,0.5095541401,54.01273885,0.8917197452,0.3821656051,0.2547770701,0,0.2547770701,0.2547770701,0
NB,L,Jan21,0,2.165605096,0,0.127388535,0,0,0,0,0
NB,L,Feb21,1.78343949,65.35031847,0.127388535,0.127388535,0.2547770701,0.2547770701,0.127388535,0,0.127388535
NB,L,Feb21,0.6369426752,55.79617834,0.2547770701,0.127388535,0,0.127388535,0.8917197452,0.127388535,0
NB,L,Feb21,1.27388535,129.2993631,0.8917197452,0.127388535,0,0.5095541401,0,0.2547770701,0
NB,L,Feb21,0.5095541401,10.57324841,0,0,0,0,0.127388535,0,0
NB,L,Feb21,3.566878981,122.2929936,0.6369426752,0.7643312102,0.127388535,0.2547770701,0.8917197452,0.2547770701,0
NB,L,Apr21,0,36.43312102,0,0,0.127388535,0.3821656051,1.52866242,0,0.5095541401
NB,L,Apr21,0,6.624203822,0,0,0,0,0.127388535,0.127388535,0
NB,L,Apr21,1.146496815,16.81528662,0.6369426752,0,0,0,0.5095541401,0,0
NB,L,Apr21,0,2.675159236,0.127388535,0,0.127388535,0.2547770701,0.2547770701,0,0
NB,L,Apr21,0,7.770700637,0.127388535,0,0,0.127388535,0.3821656051,0,0
NB,L,Apr21,0.127388535,14.77707006,0.7643312102,0,0,0.3821656051,1.01910828,0,0
SB,SIM,Jan20,1.27388535,31.21019108,14.26751592,0.7643312102,2.420382166,0,0,0.127388535,0.3821656051
SB,SIM,Jan20,1.52866242,6.369426752,2.292993631,0.127388535,0,0,0,0,0.127388535
SB,SIM,Jan20,1.01910828,18.21656051,1.78343949,0,0.3821656051,0,0,0,0
SB,SIM,Apr20,0.127388535,7.643312102,1.146496815,0,0.3821656051,0,0,0,0
SB,SIM,Apr20,2.420382166,21.65605096,1.01910828,0,0,0,0,0.3821656051,0.3821656051
SB,SIM,Apr20,0.2547770701,3.057324841,0.3821656051,0.127388535,0.5095541401,0,0,0,0.127388535
SB,SIM,May20,3.694267516,46.36942675,7.770700637,0,1.910828025,0,0,0.2547770701,4.076433121
SB,SIM,May20,0.5095541401,13.63057325,1.146496815,0,0.3821656051,0,0,0.2547770701,2.802547771
SB,SIM,May20,1.910828025,13.24840764,0.8917197452,1.401273885,1.01910828,0,0.2547770701,0,0.6369426752
SB,SIM,Jun20,0.3821656051,20.12738854,1.401273885,0.127388535,0,0,0,0.5095541401,0.3821656051
SB,SIM,Jun20,0,10.44585987,2.675159236,0.2547770701,0,0,0,0.127388535,0
SB,SIM,Jun20,0.127388535,6.624203822,0.3821656051,0,0.5095541401,0,0,0.5095541401,0
SB,SIM,Jul20,0,0.7643312102,0,0,0,1.27388535,0.127388535,0.127388535,0.127388535
SB,SIM,Jul20,0,2.038216561,0.127388535,1.01910828,0,2.038216561,0.6369426752,1.01910828,1.78343949
SB,SIM,Jul20,0,2.038216561,0,0.2547770701,0.127388535,0.2547770701,0.127388535,0.3821656051,10.57324841
SB,SIM,Sep20,0,1.27388535,0.127388535,0,0,1.78343949,0.127388535,1.146496815,19.61783439
SB,SIM,Sep20,0,1.656050955,0,0,0,1.910828025,0.127388535,1.52866242,3.949044586
SB,SIM,Sep20,0,4.713375796,0.127388535,0,0.2547770701,1.656050955,0.127388535,1.01910828,10.95541401
SB,SIM,Sep20,0,2.292993631,0.2547770701,0,0,0.5095541401,0.3821656051,1.146496815,5.605095541
SB,SIM,Oct20,0,0.8917197452,1.146496815,0.127388535,0.5095541401,1.78343949,0.127388535,0.2547770701,1.401273885
SB,SIM,Oct20,0,2.675159236,1.27388535,0.5095541401,2.420382166,0.3821656051,0,0,0.3821656051
SB,SIM,Oct20,0,1.01910828,1.27388535,0.2547770701,0.2547770701,0.3821656051,0,0.127388535,0.6369426752
SB,SIM,Oct20,0,0.127388535,0.2547770701,0.127388535,0.8917197452,1.27388535,0,0.127388535,0.127388535
SB,SIM,Nov20,0,1.01910828,2.038216561,1.27388535,0.5095541401,0.7643312102,0,0,0
SB,SIM,Nov20,0,0.2547770701,1.27388535,0.5095541401,2.675159236,0.7643312102,0,0.127388535,0
SB,SIM,Nov20,0,1.52866242,3.694267516,0.2547770701,2.547770701,1.401273885,0,0,0
SB,SIM,Nov20,0,0.6369426752,2.802547771,1.401273885,2.420382166,0.8917197452,0,0,0
SB,SIM,Jan21,0,1.910828025,1.27388535,0,0,2.547770701,0.127388535,0,0.6369426752
SB,SIM,Jan21,0,1.27388535,3.184713376,0,0.127388535,1.656050955,0,0,0.127388535
SB,SIM,Jan21,0,1.656050955,0.8917197452,0,0.127388535,2.292993631,0.127388535,0.2547770701,0.127388535
SB,SIM,Jan21,0.3821656051,1.78343949,0.8917197452,0,0.2547770701,4.840764331,0.127388535,0,0.127388535
SB,SIM,Jan21,0.127388535,0.7643312102,0.7643312102,0.127388535,0.2547770701,1.78343949,0.2547770701,0,0
SB,SIM,Feb21,1.401273885,35.15923567,5.222929936,4.076433121,4.968152866,2.547770701,1.52866242,0.127388535,5.477707006
SB,SIM,Feb21,0.127388535,4.840764331,3.057324841,1.401273885,2.929936306,4.203821656,0.5095541401,0,1.146496815
SB,SIM,Feb21,0.127388535,17.96178344,4.968152866,2.929936306,5.859872611,3.694267516,0.3821656051,0,0.7643312102
SB,SIM,Feb21,0,2.420382166,1.146496815,1.656050955,2.420382166,4.203821656,0.2547770701,0.2547770701,1.52866242
SB,SIM,Feb21,0,5.732484076,3.312101911,1.52866242,1.656050955,1.27388535,0.2547770701,0.127388535,0.6369426752
SB,SIM,Apr21,0.2547770701,8.917197452,1.27388535,1.01910828,1.401273885,2.420382166,0.3821656051,0.127388535,3.694267516
SB,SIM,Apr21,3.057324841,118.089172,6.878980892,2.165605096,4.968152866,6.242038217,2.292993631,1.27388535,11.59235669
SB,SIM,Apr21,0.2547770701,10.70063694,5.095541401,1.146496815,2.929936306,4.203821656,0.5095541401,0.127388535,1.01910828
SB,SIM,Apr21,0,15.79617834,2.165605096,0.3821656051,1.27388535,4.458598726,2.165605096,2.420382166,8.789808917
SB,SIM,Apr21,0.127388535,6.751592357,4.713375796,0.5095541401,1.146496815,4.076433121,2.802547771,0.7643312102,1.146496815
NB,SIM,Jan20,0,0.127388535,0,0.6369426752,0,0.6369426752,0.2547770701,0,0
NB,SIM,Jan20,0,0.2547770701,0.127388535,0.2547770701,0,1.146496815,5.095541401,0,0
NB,SIM,Jan20,0,0.127388535,0,1.52866242,0.5095541401,3.057324841,3.821656051,0,0
NB,SIM,Apr20,0,0.2547770701,0,0,0,0.6369426752,3.312101911,0.5095541401,0.127388535
NB,SIM,Apr20,0.127388535,0.127388535,0,0,0,1.52866242,5.859872611,3.184713376,1.401273885
NB,SIM,Apr20,0,5.605095541,0.127388535,0,0,0.127388535,0.2547770701,0.127388535,0.8917197452
NB,SIM,May20,0,0,0,0,0,0.3821656051,1.910828025,0,0
NB,SIM,May20,0,0.5095541401,0,0,0,0.5095541401,0.2547770701,0.127388535,0
NB,SIM,May20,0,0.2547770701,0,0,0,1.27388535,6.242038217,0.8917197452,4.331210191
NB,SIM,Jun20,0,0.5095541401,0,0,0,0,0,0,0
NB,SIM,Jun20,0,0.6369426752,0,0,0,0,0.8917197452,0,0
NB,SIM,Jun20,0,0.127388535,0.127388535,0,0.127388535,0,3.439490446,1.27388535,0.127388535
NB,SIM,Jul20,0,0.7643312102,0,0,0,2.802547771,9.681528662,1.27388535,1.401273885
NB,SIM,Jul20,0,1.52866242,0,0,0,0.6369426752,2.165605096,0.127388535,0.3821656051
NB,SIM,Jul20,1.910828025,5.477707006,0.2547770701,0,0,0.8917197452,6.114649682,2.292993631,2.292993631
NB,SIM,Sep20,0,0.127388535,0,0,0,3.057324841,1.910828025,2.675159236,6.114649682
NB,SIM,Sep20,0.127388535,0.7643312102,0,0,0,1.401273885,0.6369426752,0.3821656051,1.78343949
NB,SIM,Sep20,0,0.8917197452,0,0,0,3.057324841,1.27388535,1.78343949,3.694267516
NB,SIM,Sep20,0,0.6369426752,0,0,0,5.222929936,4.203821656,5.477707006,18.47133758
NB,SIM,Oct20,0,0.7643312102,0.3821656051,0,0,1.910828025,0.7643312102,0,1.146496815
NB,SIM,Oct20,0,0.6369426752,0,0,0,0.7643312102,0,0,0.2547770701
NB,SIM,Oct20,0,0.127388535,0,0,0.127388535,0.7643312102,0.2547770701,0,0
NB,SIM,Oct20,0,0,0,0,0,5.859872611,0.2547770701,0.127388535,0.127388535
NB,SIM,Nov20,0,0.2547770701,0.2547770701,0,0,2.547770701,0.127388535,0,0
NB,SIM,Nov20,0,0.3821656051,0,0,0,8.789808917,1.01910828,0,0
NB,SIM,Nov20,0,1.656050955,1.656050955,0,0,4.585987261,0.5095541401,0.127388535,0
NB,SIM,Nov20,0,0.5095541401,0.5095541401,0.5095541401,0,0.5095541401,0.2547770701,0,0
NB,SIM,Nov20,0,0,0,0,0,2.292993631,0.2547770701,0,0
NB,SIM,Jan21,0.3821656051,4.585987261,0.3821656051,0,0.127388535,1.01910828,1.52866242,0,0.127388535
NB,SIM,Jan21,0,8.280254777,0,0,0,2.675159236,2.165605096,1.27388535,0.8917197452
NB,SIM,Jan21,0,0.3821656051,0,0,0,0.2547770701,0.3821656051,0,0.127388535
NB,SIM,Jan21,0,4.203821656,0.3821656051,0,0,0.5095541401,0.3821656051,0.127388535,0
NB,SIM,Feb21,0,32.48407643,0,0,0,6.496815287,11.59235669,5.605095541,1.146496815
NB,SIM,Feb21,1.27388535,54.14012739,0.2547770701,0,0,8.407643312,2.292993631,1.27388535,1.27388535
NB,SIM,Feb21,0.6369426752,20.50955414,0,0,0,6.751592357,5.859872611,10.06369427,3.057324841
NB,SIM,Feb21,1.146496815,8.025477707,0,0,0,4.713375796,1.78343949,1.52866242,1.01910828
NB,SIM,Feb21,1.27388535,116.8152866,0.2547770701,0,0,4.968152866,6.878980892,3.057324841,0.8917197452
NB,SIM,Apr21,0,1.910828025,0.127388535,0,0,0.3821656051,0.7643312102,2.675159236,0.2547770701
NB,SIM,Apr21,0.127388535,9.299363057,0.127388535,0,0.127388535,0.2547770701,3.821656051,2.929936306,0.3821656051
NB,SIM,Apr21,0,3.312101911,0.2547770701,0,0,0.7643312102,2.675159236,1.146496815,0.6369426752
NB,SIM,Apr21,0,2.547770701,0,0,0,0.2547770701,0.6369426752,0.2547770701,0
NB,SIM,Apr21,0,4.076433121,0.5095541401,0,0,2.165605096,2.802547771,0.127388535,0.127388535
NB,SIM,Apr21,0,1.52866242,0,0,0,0.127388535,0.127388535,1.01910828,0
SB,SOM,Jan20,2.929936306,11.71974522,1.146496815,0,0.127388535,0,0,0,0
SB,SOM,Jan20,0,5.605095541,0.6369426752,0,0,0.127388535,0,0,0
SB,SOM,Jan20,0,0.3821656051,0.2547770701,0,0.8917197452,0,0,0,0
SB,SOM,Apr20,0,0,0,0,0,0,0,0,0
SB,SOM,Apr20,0,0.5095541401,0,0,0,0,0,0.3821656051,0.3821656051
SB,SOM,Apr20,0,0,0,0,0,0,0,0,0
SB,SOM,May20,0,0.3821656051,0.5095541401,0,0,0,0,0,0
SB,SOM,May20,0,0.2547770701,0,0,0,0,0,0,0
SB,SOM,May20,0,0.8917197452,0.2547770701,0,0,0,0,0.3821656051,2.292993631
SB,SOM,Jun20,0,1.52866242,0,0,0,0,0,0.2547770701,0
SB,SOM,Jun20,0,0.127388535,0,0,0,0,0,1.401273885,0.2547770701
SB,SOM,Jun20,0,1.910828025,0,0,0,0,0,1.146496815,0.127388535
SB,SOM,Jul20,0,0.8917197452,0.3821656051,0,0,1.78343949,0.127388535,0.2547770701,0.2547770701
SB,SOM,Jul20,0.127388535,1.401273885,0.2547770701,0,0,5.350318471,0.7643312102,0.127388535,2.675159236
SB,SOM,Jul20,0,0.127388535,0,0,0,0.127388535,0.2547770701,0.127388535,0.127388535
SB,SOM,Sep20,0,0.127388535,0,0,0,0.3821656051,0.127388535,0,0.2547770701
SB,SOM,Sep20,0,0,0,0,0,1.52866242,0.127388535,0,0.127388535
SB,SOM,Sep20,0,0,0,0,0,0.7643312102,0,0,0
SB,SOM,Sep20,0,0.2547770701,0,0.127388535,0,0.3821656051,0.2547770701,0,0.3821656051
SB,SOM,Oct20,0,0,0,0,0,1.01910828,0.127388535,0.127388535,0
SB,SOM,Oct20,0,1.78343949,0,0,0,0.3821656051,0.127388535,0.3821656051,0
SB,SOM,Oct20,0,0.127388535,0,0,0,1.146496815,0,0,0
SB,SOM,Oct20,0,0,0,0,0,1.910828025,0.127388535,0.127388535,0
SB,SOM,Nov20,0,0,0,0,0,1.01910828,0.8917197452,0.127388535,0
SB,SOM,Nov20,0,0.127388535,0,0,0,0.3821656051,0.5095541401,0.127388535,0.3821656051
SB,SOM,Nov20,0,0.3821656051,0,0,0,2.165605096,0.2547770701,0.127388535,0.127388535
SB,SOM,Nov20,0,0,0,0,0,1.27388535,1.27388535,0.5095541401,0.127388535
SB,SOM,Jan21,0,0.127388535,0,0,0,0.2547770701,1.52866242,0,0
SB,SOM,Jan21,0,0.3821656051,0,0,0,0.7643312102,3.566878981,0.127388535,0
SB,SOM,Jan21,0,0.2547770701,0.127388535,0,0,0.6369426752,0.5095541401,0.127388535,0
SB,SOM,Jan21,0,1.146496815,0.2547770701,0,0,0.3821656051,8.535031847,0.3821656051,0
SB,SOM,Jan21,0,0.127388535,0.127388535,0,0,0.5095541401,1.27388535,0,0
SB,SOM,Feb21,0,0.2547770701,0,0,0,6.624203822,12.10191083,4.076433121,0
SB,SOM,Feb21,0,0.5095541401,0,0,0,7.261146497,5.222929936,0.3821656051,1.01910828
SB,SOM,Feb21,0,0.3821656051,0,0,0,0.6369426752,14.9044586,3.057324841,0.2547770701
SB,SOM,Feb21,0,0,0.127388535,0,0,3.949044586,7.643312102,0.2547770701,0.127388535
SB,SOM,Feb21,0,0,0,0,0,1.01910828,8.917197452,0.6369426752,0
SB,SOM,Apr21,0,0,0,0,0,0.5095541401,1.52866242,0.127388535,0.127388535
SB,SOM,Apr21,0,0.127388535,0,0,0,0.127388535,1.78343949,0.8917197452,0
SB,SOM,Apr21,0,0,0,0,0,0.3821656051,0.7643312102,0,0
SB,SOM,Apr21,0,0.127388535,0,0,0,0.8917197452,1.27388535,0.3821656051,0
SB,SOM,Apr21,0,0,0.127388535,0,0.127388535,0.8917197452,2.802547771,0,0
NB,SOM,Jan20,0,0,0,0,0,3.566878981,11.71974522,0.127388535,0
NB,SOM,Jan20,0,0,0,0,0,1.656050955,5.987261146,0,0
NB,SOM,Jan20,0,0.127388535,0,0,0,0.6369426752,1.01910828,0,0
NB,SOM,Apr20,0.127388535,0,0,0,0,1.146496815,1.656050955,0,0
NB,SOM,Apr20,0,0,0,0,0,2.165605096,5.222929936,0.127388535,0
NB,SOM,Apr20,0,0,0,0,0,2.929936306,9.808917197,5.350318471,1.01910828
NB,SOM,May20,0,0,0,0,0,4.076433121,9.044585987,1.146496815,0.5095541401
NB,SOM,May20,0,0,0.127388535,0,0,0.6369426752,2.038216561,0.5095541401,0
NB,SOM,May20,0,0.3821656051,0,0,0,3.694267516,5.987261146,3.184713376,0.2547770701
NB,SOM,Jun20,0,0,0,0,0,1.401273885,1.01910828,3.439490446,0.3821656051
NB,SOM,Jun20,0,0,0,0,0,1.910828025,1.401273885,1.146496815,0.6369426752
NB,SOM,Jun20,0,0.127388535,0,0,0,3.184713376,0.2547770701,0.3821656051,0.7643312102
NB,SOM,Jul20,0,0,0,0,0,11.97452229,3.184713376,2.929936306,0.3821656051
NB,SOM,Jul20,0,0,0,0,0,0,0.2547770701,0.5095541401,0
NB,SOM,Jul20,0,0,0,0,0,4.458598726,1.01910828,0.5095541401,0.3821656051
NB,SOM,Sep20,0,0,0,0,0,0.127388535,0.8917197452,0,0
NB,SOM,Sep20,0,0.2547770701,0,0,0,7.006369427,0.5095541401,3.949044586,4.585987261
NB,SOM,Sep20,0,0.127388535,0,0,0,4.203821656,1.401273885,4.713375796,2.292993631
NB,SOM,Sep20,0,0.2547770701,0,0,0,6.624203822,0.7643312102,2.675159236,0.127388535
NB,SOM,Oct20,0,0,0,0,0,2.420382166,0.127388535,0,0.127388535
NB,SOM,Oct20,0,0.127388535,0,0,0,5.859872611,0.8917197452,0.127388535,0
NB,SOM,Oct20,0,0.127388535,0,0,0,0.6369426752,0.2547770701,0,0
NB,SOM,Oct20,0,0.127388535,0,0,0,1.01910828,0,0,0
NB,SOM,Nov20,0,0,0,0,0,1.910828025,0.127388535,0,0
NB,SOM,Nov20,0,0,0,0,0,0.8917197452,0.6369426752,0.127388535,0
NB,SOM,Nov20,0,0.127388535,0,0,0,2.929936306,1.78343949,0.2547770701,0
NB,SOM,Nov20,0,0,0,0,0,3.694267516,0.6369426752,0.127388535,0
NB,SOM,Jan21,0,0.127388535,0,0,0,0,0.3821656051,0.2547770701,0.127388535
NB,SOM,Jan21,0,0,0,0,0,0,1.27388535,0.127388535,0
NB,SOM,Jan21,0,0,0,0,0,0.2547770701,0.6369426752,0.3821656051,0
NB,SOM,Jan21,0,0.127388535,0,0,0,0.127388535,0.3821656051,0.2547770701,0
NB,SOM,Feb21,0.127388535,0.8917197452,0,0,0,4.458598726,0.6369426752,2.165605096,0
NB,SOM,Feb21,0,1.27388535,0,0,0,0.8917197452,2.547770701,1.52866242,0.7643312102
NB,SOM,Feb21,0,0,0,0,0,1.52866242,2.547770701,1.27388535,0.2547770701
NB,SOM,Feb21,0,0,0,0,0,3.949044586,1.78343949,1.27388535,0.127388535
NB,SOM,Feb21,0,0.6369426752,0,0,0,3.566878981,1.52866242,1.01910828,0.5095541401
NB,SOM,Apr21,0.127388535,0,0,0,0,0.5095541401,0.6369426752,1.78343949,0
NB,SOM,Apr21,0,0.127388535,0,0,0,0.3821656051,0.8917197452,1.401273885,0
NB,SOM,Apr21,0.127388535,0.3821656051,0,0,0,0.2547770701,0.6369426752,2.038216561,0.127388535
NB,SOM,Apr21,0,0.2547770701,0,0,0.127388535,0.127388535,0.127388535,0.8917197452,0
NB,SOM,Apr21,0,0.2547770701,0,0,0,0.3821656051,0.3821656051,0.2547770701,0